id,date,time,event_hour,latitude,longitude,category,subcategory,GEOID
97091406301,2020-09-10,09:47:00,9,37.7858772277832,-122.43492126464844,Larceny Theft,Larceny Theft - From Building,060750153001
97091409040,2020-09-10,09:47:00,9,37.7858772277832,-122.43492126464844,Fraud,Fraud,060750153001
96019861030,2020-09-10,09:55:00,9,37.72120666503906,-122.48302459716797,Other,Other,060750332043
96129506363,2020-09-10,10:00:00,10,37.770896911621094,-122.41499328613281,Larceny Theft,Larceny Theft - Shoplifting,060750177002
96360410125,2020-09-10,10:00:00,10,37.725914001464844,-122.40508270263672,Fraud,Fraud,060750257021
111851410125,2020-09-10,10:00:00,10,37.725914001464844,-122.40508270263672,Fraud,Fraud,060750257021
96018407041,2020-09-10,10:01:00,10,37.78070068359375,-122.40392303466797,Recovered Vehicle,Recovered Vehicle,060750178011
96016607041,2020-09-10,10:05:00,10,37.74906539916992,-122.38642883300781,Recovered Vehicle,Recovered Vehicle,060759809001
96017209024,2020-09-10,10:20:00,10,37.802581787109375,-122.42985534667969,Fraud,Fraud,060750129022
96017906364,2020-09-10,10:20:00,10,37.785743713378906,-122.40583038330078,Larceny Theft,Larceny Theft - Shoplifting,060750615012
96114609024,2020-09-10,10:48:00,10,37.74153518676758,-122.43562316894531,Fraud,Fraud,060750217001
96064405013,2020-09-10,11:00:00,11,37.77824020385742,-122.41414642333984,Burglary,Burglary - Residential,060750176031
96072306372,2020-09-10,11:00:00,11,37.772457122802734,-122.41630554199219,Larceny Theft,Larceny Theft - Other,060750177002
96265706372,2020-09-10,11:00:00,11,37.74440002441406,-122.48760986328125,Larceny Theft,Larceny Theft - Other,060750329013
119280306244,2020-09-10,11:00:00,11,37.80738067626953,-122.40730285644531,Larceny Theft,Larceny - From Vehicle,060750101011
96105909029,2020-09-10,11:30:00,11,37.78145980834961,-122.4429702758789,Fraud,Fraud,060750157021
96019128150,2020-09-10,11:49:00,11,37.7504768371582,-122.42098236083984,Malicious Mischief,Vandalism,060750210004
96020161030,2020-09-10,11:52:00,11,37.7846565246582,-122.4144287109375,Other,Other,060750125022
96025706244,2020-09-10,12:00:00,12,37.80716323852539,-122.40889739990234,Larceny Theft,Larceny - From Vehicle,060750101011
96028406303,2020-09-10,12:00:00,12,37.78910827636719,-122.4170150756836,Larceny Theft,Larceny Theft - From Building,060750120012
96028428150,2020-09-10,12:00:00,12,37.78910827636719,-122.4170150756836,Malicious Mischief,Vandalism,060750120012
96078107021,2020-09-10,12:00:00,12,37.73322296142578,-122.39124298095703,Motor Vehicle Theft,Motor Vehicle Theft,060750232003
96100771013,2020-09-10,12:00:00,12,37.78279495239258,-122.41405487060547,Larceny Theft,Theft From Vehicle,060750124041
96318505071,2020-09-10,12:00:00,12,37.79338073730469,-122.4061279296875,Burglary,Burglary - Other,060750118001
97924206302,2020-09-10,12:00:00,12,37.79374694824219,-122.41036224365234,Larceny Theft,Larceny Theft - From Building,060750112002
